,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
292,8,0,0,0,763,3.1811235,1596603899138
306,8,0,0,0,763,3.1811235,1596645853138
328,8,0,0,0,763,3.1811235,1596647299288
1471,10,0,0,0,763,2.3922992,1596964462019
329,10,0,0,0,763,2.3922992,1596647315852
3926,8,15,0,0,699,1.8632314,1604766275132
5166,10,0,1,0,544,1.5759437,1607644188261
7667,8,0,0,0,571,1.3517472,1612169077839
2037,8,15,0,0,571,1.210231,1597990866262
1891,8,15,0,0,571,1.210231,1597990617633
5160,8,15,0,0,714,0.9933033,1607628935280
595,8,15,0,0,763,0.9933033,1596783903738
420,8,15,0,500,763,0.8512837,1596693792876
1708,8,15,0,0,673,0.70890504,1555889822171
5851,8,15,0,0,673,0.70890504,1608658090055
7668,10,0,0,0,571,0.69399786,1612169078403
7533,10,0,0,0,571,0.69399786,1612169004251
3806,8,0,1,0,795,0.5544617,1604412259720
1273,8,0,1,500,763,0.40670252,1596935944620
4867,10,0,1,0,757,0.11993161,1606255859950
3900,8,0,0,0,299,-0.10802053,1604643511542
3475,8,0,0,0,529,-0.10802053,1602856168385
7983,8,0,0,0,98,-0.10802053,1612824190819
5086,8,0,0,0,15,-0.10802053,1607280326012
7357,10,0,1,0,571,-0.20371932,1612168903723
7279,10,0,1,0,571,-0.20371932,1612168863131
7307,10,0,1,0,571,-0.20371932,1612168878180
4904,10,15,0,0,544,-0.2894695,1606397059782
2768,10,0,0,0,402,-0.3297195,1600318224624
3941,8,15,0,0,521,-0.33928978,1604854775859
4317,8,15,0,0,299,-0.33928978,1605663078599
1610,10,0,1,0,286,-0.46821964,1597532106128
1884,8,20,0,0,571,-0.47558516,1597990609395
6942,8,20,0,0,571,-0.47558516,1612168465326
7244,8,20,0,0,571,-0.47558516,1612168698067
7542,8,20,0,0,571,-0.47558516,1612169009035
7653,8,19,0,0,571,-0.47558516,1612169070443
7211,8,19,0,0,571,-0.47558516,1612168681868
7096,8,20,0,0,571,-0.47558516,1612168551384
7761,8,19,0,0,571,-0.47558516,1612169133177
7768,8,19,0,0,571,-0.47558516,1612169137032
6980,8,20,0,0,571,-0.47558516,1612168487390
7571,8,20,0,0,571,-0.47558516,1612169025326
7580,8,21,0,0,571,-0.47558516,1612169029943
1934,8,20,0,0,571,-0.47558516,1597990684029
2038,10,15,0,0,571,-0.50727016,1597990867909
7356,8,0,1,0,571,-0.5095095,1612168903207
7306,8,0,1,0,571,-0.5095095,1612168877647
298,14,0,0,0,763,-0.53686637,1596645564719
297,12,0,0,0,763,-0.53686637,1596645552231
308,16,0,0,0,763,-0.53686637,1596645884674
330,12,0,0,0,763,-0.53686637,1596647325599
331,14,0,0,0,763,-0.53686637,1596647338617
307,14,0,0,0,763,-0.53686637,1596645868134
7752,8,20,0,500,571,-0.61760443,1612169128054
600,8,20,0,0,763,-0.6198661,1596784009137
6387,8,20,0,0,767,-0.6198661,1609884857080
625,8,20,0,0,763,-0.6198661,1596785087229
680,12,0,0,500,763,-0.64377576,1596787346420
5095,12,0,0,500,763,-0.64377576,1607330733588
3447,8,0,1,500,673,-0.65726894,1602633442752
365,8,19,0,500,763,-0.7618854,1596655455637
288,8,19,0,500,763,-0.7618854,1596603459004
358,8,21,0,500,763,-0.7618854,1596654673440
5206,8,20,0,500,724,-0.7618854,1607932011739
937,8,20,0,500,763,-0.7618854,1596863537318
312,10,15,0,0,763,-0.7636614,1596645969862
1576,22,0,1,0,544,-0.86382836,1597361930691
291,0,0,0,0,763,-0.88008326,1596603885848
3657,4,0,0,0,783,-0.88008326,1603745520392
324,0,0,0,0,763,-0.88008326,1596647183807
305,6,0,0,0,763,-0.88008326,1596645833367
304,4,0,0,0,763,-0.88008326,1596645819940
326,4,0,0,0,763,-0.88008326,1596647277337
325,2,0,0,0,763,-0.88008326,1596647194836
303,0,0,0,0,763,-0.88008326,1596645808043
301,2,0,0,0,763,-0.88008326,1596645772432
300,0,0,0,0,763,-0.88008326,1596645753489
