,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
2838,2,20,6,0,632,3.8699064,1600616124285
501,4,20,6,0,763,2.691465,1596704640883
2287,4,2,2,0,153,2.6625457,1598982202982
1097,4,21,6,0,763,2.4159389,1596926635538
10,4,9,2,0,763,2.3087966,1596574043440
9,4,9,2,0,763,2.3087966,1596574028600
3406,2,2,6,0,480,2.0570633,1602529682424
2598,2,2,6,0,480,2.0570633,1599875545667
3765,2,2,6,0,480,2.0570633,1604176810056
110,4,20,2,0,763,1.7331766,1596580141305
173,4,20,2,0,763,1.7331766,1596598501058
172,4,20,2,0,763,1.7331766,1596598491662
466,4,20,2,0,763,1.7331766,1596702287379
1286,4,20,2,0,763,1.7331766,1596936786768
6852,4,20,2,0,763,1.7331766,1611851430829
6380,4,20,6,0,801,1.6750584,1609846398735
6439,4,20,6,0,801,1.6750584,1609975155307
5866,4,0,2,0,157,1.6556463,1608697072255
118,4,21,2,0,763,1.5612235,1596580290938
5108,2,20,2,0,632,1.0551515,1607365846570
4116,2,20,8,0,632,1.0539999,1605466273612
6476,4,20,2,0,801,1.0469738,1609977226970
705,4,20,6,500,763,0.9033072,1596788551612
694,4,20,6,500,763,0.9033072,1596787894780
500,2,20,6,0,763,0.8691828,1596704630779
4056,2,2,3,0,480,0.7322671,1605208254310
8043,2,2,2,0,480,0.7233089,1612832792666
5813,4,2,2,0,15,0.636778,1608242633553
7856,4,2,2,0,130,0.636778,1612302105475
3077,4,2,2,0,48,0.636778,1601475207166
2978,4,2,2,0,130,0.636778,1601123287675
1515,4,2,2,0,70,0.636778,1597124236897
4170,4,20,2,0,632,0.5304558,1605570393129
1222,4,9,6,0,763,0.5149744,1596933305641
1212,4,9,6,0,763,0.5149744,1596932677088
49,4,20,2,500,763,0.23353648,1596577057540
4045,4,2,6,0,480,0.18864329,1605168846748
4918,4,2,6,0,480,0.18864329,1606526184411
8233,4,2,6,0,483,0.18864329,1613602931832
8231,4,2,6,0,482,0.18864329,1613600028056
6529,4,2,6,0,48,0.11687898,1609194898706
6621,4,2,6,0,48,0.11687898,1610599847779
6189,4,2,6,0,56,0.11687898,1609842439193
6782,2,2,6,0,15,0.06838718,1611513106912
6438,2,20,6,0,801,0.027882315,1609975155123
6379,2,20,6,0,801,0.027882315,1609846398554
964,4,9,6,0,632,0.015549317,1596864758384
3639,4,9,6,0,632,0.015549317,1603684152700
3530,0,20,2,0,639,0.012198137,1603234332894
542,4,20,7,0,763,-0.039634436,1596743704232
851,4,20,9,0,763,-0.039634436,1596841500162
640,4,20,8,0,763,-0.039634436,1596785571173
3644,4,2,2,0,480,-0.17337562,1603726241929
74,4,2,2,0,480,-0.17337562,1596579244592
2778,4,2,2,0,480,-0.17337562,1600375963517
5008,4,2,2,0,480,-0.17337562,1606941001571
6547,4,2,2,0,480,-0.17337562,1610250211424
1582,4,2,2,0,484,-0.17337562,1597365184752
5212,2,2,8,0,480,-0.17658012,1607932015526
6689,2,2,8,0,480,-0.17658012,1611008325862
6729,2,6,6,0,480,-0.18513633,1611173156783
2331,0,2,2,0,480,-0.19796851,1599227933400
2355,4,9,6,0,842,-0.23747909,1599319418347
2203,2,2,2,500,155,-0.24618743,1598540210792
109,2,20,2,0,763,-0.26395568,1596580127900
1396,2,20,2,0,763,-0.26395568,1596950962686
465,2,20,2,0,763,-0.26395568,1596702234389
171,2,20,2,0,763,-0.26395568,1596598477336
2706,2,20,8,500,632,-0.27448574,1592621118880
8004,4,20,2,0,157,-0.2975559,1612894804139
1441,4,21,10,0,763,-0.3151605,1596960091876
2242,4,0,2,0,94,-0.37012085,1598632540206
3925,4,0,2,0,15,-0.37012085,1604745911183
5969,4,0,2,0,110,-0.37012085,1609184609398
5787,4,0,2,0,94,-0.37012085,1608033441800
499,0,20,6,0,763,-0.43937597,1596704621558
2244,2,2,2,0,66,-0.48524955,1598640206042
5796,2,2,2,0,73,-0.48524955,1607366353352
1994,2,20,6,0,571,-0.5154229,1597990792919
3930,2,20,6,0,544,-0.5154229,1604775819213
7821,2,20,6,0,571,-0.5154229,1612169167361
2065,2,20,6,0,571,-0.5154229,1597990916381
7034,2,20,6,0,571,-0.5154229,1612168516401
7196,2,20,6,0,571,-0.5154229,1612168673422
7264,2,20,6,0,571,-0.5154229,1612168707567
2943,2,20,6,0,544,-0.5154229,1600979528882
8237,2,20,6,0,605,-0.5154229,1613625949676
6029,2,20,6,0,544,-0.5154229,1609290794967
7697,2,20,6,0,571,-0.5154229,1612169096606
8,2,9,2,0,763,-0.5188377,1596574010688
5245,2,21,6,0,544,-0.5686547,1607932044709
5249,2,21,6,0,544,-0.5686547,1607932046956
3113,2,20,6,0,673,-0.60242987,1563806206697
7909,2,20,6,0,673,-0.60242987,1612451091628
2916,2,20,6,0,644,-0.60242987,1600906034061
4072,2,20,6,0,673,-0.60242987,1604982471482
6886,2,13,6,0,632,-0.61292076,1611949844267
2321,2,12,6,0,632,-0.61292076,1599162022925
4086,2,2,6,0,633,-0.6160102,1605373432843
1095,0,21,6,0,763,-0.6248952,1596926620187
3838,4,0,1,0,161,-0.63358253,1604550579007
6493,4,9,0,0,783,-0.64434254,1610039320619
1531,4,9,0,0,821,-0.64434254,1597197341108
8078,2,9,2,0,157,-0.68023413,1609789806156
6704,4,20,6,0,673,-0.6844455,1611093959955
3461,4,20,6,0,673,-0.6844455,1602714940470
