wardrobe_id,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_created_at_ms,wardrobe_designer,wardrobe_photo_signature
wardrobe-1596573072865,2,Silver,Cocktail,289,1596573072865,Vienna,wardrobe-1596573072865
wardrobe-1596573189458,6,Red,Cocktail,199,1596573189458,Vienna,wardrobe-1596573189458
wardrobe-1596573247500,4,Blue,Cocktail,199,1596573247500,Vienna,wardrobe-1596573247500
wardrobe-1596573290248,0,Yellow,Cocktail,199,1596573290248,Vienna,wardrobe-1596573290248
wardrobe-1596573593310,0,Multicolor,Cocktail,289,1596573593310,Vienna,wardrobe-1596573593310
wardrobe-1596573676974,-2,Multicolor,Cocktail,199,1596573676974,Vienna,wardrobe-1596573676974
wardrobe-1596573977337,-2,Multicolor,Cocktail,289,1596573977337,Vienna,wardrobe-1596573977337
wardrobe-1596573997910,0,Multicolor,Cocktail,289,1596573997910,Vienna,wardrobe-1596573997910
wardrobe-1596574010688,2,Multicolor,Cocktail,289,1596574010688,Vienna,wardrobe-1596574010688
wardrobe-1596574028600,4,Multicolor,Cocktail,289,1596574028600,Vienna,wardrobe-1596574028600
wardrobe-1596574043440,4,Multicolor,Cocktail,289,1596574043440,Vienna,wardrobe-1596574043440
wardrobe-1596574058396,6,Multicolor,Cocktail,289,1596574058396,Vienna,wardrobe-1596574058396
wardrobe-1596574071588,6,Multicolor,Cocktail,289,1596574071588,Vienna,wardrobe-1596574071588
wardrobe-1596574083930,8,Multicolor,Cocktail,289,1596574083930,Vienna,wardrobe-1596574083930
wardrobe-1596574233399,12,Blue,Cocktail,399,1596574233399,Vienna,wardrobe-1596574233399
wardrobe-1596574533270,2,Black,Cocktail,499,1596574533270,Vienna,wardrobe-1596574533270
wardrobe-1596574544982,4,Black,Cocktail,499,1596574544982,Vienna,wardrobe-1596574544982
wardrobe-1596574563670,6,Black,Cocktail,499,1596574563670,Vienna,wardrobe-1596574563670
wardrobe-1596574596873,10,Black,Cocktail,499,1596574596873,Vienna,wardrobe-1596574596873
wardrobe-1596574716011,8,Black,Cocktail,649,1596574716011,Vienna,wardrobe-1596574716011
wardrobe-1596575151928,12,White,Cocktail,649,1596575151928,Vienna,wardrobe-1596575151928
wardrobe-1596575188152,2,Blue,Cocktail,649,1596575188152,Vienna,wardrobe-1596575188152
